,,,a,,,,
Region code,Region label,Commodity code,Commodity description, Estimate , Estimate - Relative Standard Error (Percent) , Number of agricultural businesses , Number of agricultural businesses - Relative Standard Error (Percent) 
0,Australia,AGLANDTOTLAHA_F,Area of holding - Total area (ha) (a),"387,264,589",,"87,402",
0,Australia,AGLANDTOTLHAFLAG_F,Number of agricultural businesses (no.),"87,402",,"87,402",
0,Australia,AGWATRPRODFLAG_F,Number of agricultural businesses irrigating (no.),"20,726",,"20,726",
0,Australia,AGWATRSRCASTML_F,Water source - Total volume of water from all sources (ML) (b),"8,091,271",,"20,774",
0,Australia,AGWATSRCAMLICH_F,Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML),"3,384,923",,"7,286",
0,Australia,AGWATSRCAMLONF_F,Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"616,865",,"5,263",
0,Australia,AGWATERSRCAMLRIV_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","2,184,901",,"4,994",
0,Australia,AGWATSCRVCHAML_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","1,901,166",,"3,862",
0,Australia,AGWATSCRVNCAML_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","283,735",,"1,229",
0,Australia,AGWATSRCAMLGRN_F,"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","1,748,103",,"7,329",
0,Australia,AGWATSRCAMLREC_F,"Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","134,655",,928,
0,Australia,AGWATSRCAMLMNS_F,Water source - Town or reticulated mains supply - Total volume used (ML),"20,306",^,858,
0,Australia,AGWATSRCAMLOTH_F,Water source - Other sources of water (excluding rainfall) - Total volume used (ML),"1,517",^,30,
0,Australia,AGWATRPRODAHA_F,Water use - Total area watered (ha),"1,944,871",,"20,726",
0,Australia,AGWATRPRODAML_F,Water use - Total volume applied (ML),"7,774,033",,"20,726",
0,Australia,Watapp_tarea_rate_F,Water use - Total application rate (ML/ha),4.0,,..,
0,Australia,AGLANDGRAZEHA_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha),"331,868,884",,"64,749",
0,Australia,AGWATRPACRAHAGRZ_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha),"495,779",,"5,700",
0,Australia,AGWATRPACRAMLGRZ_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML),"1,429,495",,"5,700",
0,Australia,Watapp_Pastcer_grz_rate_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Application rate (ML/ha),2.9,,..,
0,Australia,AGPASCRHAYSILAHA_F,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)","2,069,547",,"26,267",
0,Australia,AGWATRPHAYSILAHA_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha),"210,391",,"3,670",
0,Australia,AGWATRPHAYSILAML_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML),"664,712",,"3,670",
0,Australia,Watapp_Hay_silage_rate_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Application rate (ML/ha),3.2,,..,
0,Australia,AGVEGE_AHA_F,Water use - Vegetables - Total area grown (ha),"127,624",,"3,991",
0,Australia,AGWATRVEGEAHA_F,Water use - Vegetables - Area watered (ha),"98,785",,"3,014",
0,Australia,AGWATRVEGEAML_F,Water use - Vegetables - Volume applied (ML),"382,626",,"3,014",
0,Australia,Watapp_Vegies_rate_F,Water use - Vegetables - Application rate (ML/ha),3.9,,..,
0,Australia,AGFRUT_AHA_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)","227,215",,"5,653",
0,Australia,AGWATRFRUTAHA_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)","196,906",,"3,908",
0,Australia,AGWATRFRUTAML_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)","1,127,108",,"3,908",
0,Australia,Watapp_Fruit_rate_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Application rate (ML/ha)",5.7,,..,
0,Australia,AGGRAPE_AHA_F,Water use - Grapevines - Total area grown (ha),"141,479",,"3,980",
0,Australia,AGWATRGRAPAHA_F,Water use - Grapevines - Area watered (ha),"130,534",,"3,358",
0,Australia,AGWATRGRAPAML_F,Water use - Grapevines - Volume applied (ML),"516,550",,"3,358",
0,Australia,Watapp_Grapevines_rate_F,Water use - Grapevines - Application rate (ML/ha),4.0,,..,
0,Australia,AGNURFLWTUAHA_F,"Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)","16,307",,"1,870",
0,Australia,AGWATRNURSAHA_F,"Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)","11,910",,"1,382",
0,Australia,AGWATRNURSAML_F,"Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)","56,995",,"1,382",
0,Australia,Watapp_Nurseries_rate_F,"Water use - Nurseries, cut flowers and cultivated turf - Application rate (ML/ha)",4.8,,..,
0,Australia,AGCEREAL_AHARIC_F,Water use - Rice - Total area grown (ha),"45,084",,396,
0,Australia,AGWATROCRPAHARIC_F,Water use - Rice - Area watered (ha),"45,084",,396,
0,Australia,AGWATROCRPAMLRIC_F,Water use - Rice - Volume applied (ML),"538,365",,396,
0,Australia,Watapp_Rice_rate_F,Water use - Rice - Application rate (ML/ha),11.9,,..,
0,Australia,AGCEREALXRICHA_F,"Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)","19,918,671",,"26,176",
0,Australia,AGWATRCCRPGRSAHA_F,"Water use - Cereals for grain or seed, excluding rice - Area watered (ha)","320,093",,"1,533",
0,Australia,AGWATRCCRPGRSAML_F,"Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)","718,870",,"1,533",
0,Australia,Watapp_Other_cer_rate_F,"Water use - Cereals for grain or seed, excluding rice - Application rate (ML/ha)",2.3,,..,
0,Australia,AGCOTTPLTDAHA_F,Water use - Cotton - Total area grown (ha) (c),"275,128",,724,
0,Australia,AGWATROCRPAHACOT_F,Water use - Cotton - Area watered (ha),"197,401",,623,
0,Australia,AGWATROCRPAMLCOT_F,Water use - Cotton - Volume applied (ML),"1,326,321",,623,
0,Australia,Watapp_Cotton_rate_F,Water use - Cotton - Application rate (ML/ha),6.7,,..,
0,Australia,AGSUGARCANAHA_F,Water use - Sugar cane - Total area grown (ha) (d),"404,179",,"2,960",
0,Australia,AGWATROCRPAHASUG_F,Water use - Sugar cane - Area watered (ha),"157,521",,"1,307",
0,Australia,AGWATROCRPAMLSUG_F,Water use - Sugar cane - Volume applied (ML),"795,440",,"1,307",
0,Australia,Watapp_Sugar_rate_F,Water use - Sugar cane - Application rate (ML/ha),5.1,,..,
0,Australia,AGOTHCROPALL_AHA_F,Water use - Other crops n.e.c. - Total area grown (ha) (e),"5,606,186",,"17,410",
0,Australia,AGWATROTHCRPAHA_F,Water use - Other crops n.e.c. - Area watered (ha),"80,468",,957,
0,Australia,AGWATROTHCRPAML_F,Water use - Other crops n.e.c. - Volume applied (ML),"217,550",,957,
0,Australia,Watapp_Oth_crops_rate_F,Water use - Other crops n.e.c. - Application rate (ML/ha),2.7,,..,
1,New South Wales,AGLANDTOTLAHA_F,Area of holding - Total area (ha) (a),"53,822,774",,"26,521",
1,New South Wales,AGLANDTOTLHAFLAG_F,Number of agricultural businesses (no.),"26,521",,"26,521",
1,New South Wales,AGWATRPRODFLAG_F,Number of agricultural businesses irrigating (no.),"4,826",,"4,826",
1,New South Wales,AGWATRSRCASTML_F,Water source - Total volume of water from all sources (ML) (b),"2,832,235",,"4,845",
1,New South Wales,AGWATSRCAMLICH_F,Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML),"1,307,396",,"1,698",
1,New South Wales,AGWATSRCAMLONF_F,Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"139,495",,"1,119",
1,New South Wales,AGWATERSRCAMLRIV_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","886,695",,"1,541",
1,New South Wales,AGWATSCRVCHAML_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","851,267",,"1,276",
1,New South Wales,AGWATSCRVNCAML_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","35,428",,285,
1,New South Wales,AGWATSRCAMLGRN_F,"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","474,423",,"1,262",
1,New South Wales,AGWATSRCAMLREC_F,"Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","16,878",,124,
1,New South Wales,AGWATSRCAMLMNS_F,Water source - Town or reticulated mains supply - Total volume used (ML),"6,935",*,253,
